"DATE & TIME","USER NAME","EVENT","TARGET NAME","PROJECT NAME"
"2026-01-13T23:40:35.154Z","study_lead","Update Governance Bundle Stage Assignee","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:40:26.457Z","production_programmer","Create Governance Bundle Stage Approval Request","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:40:16.357Z","production_programmer","View Repo File","","CDISC01_CSR"
"2026-01-13T23:40:12.240Z","study_lead","Update Governance Bundle Stage Assignee","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:39:54.658Z","study_lead","Accept Governance Bundle Stage Approval Request","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:39:54.648Z","study_lead","Change Governance Bundle Stage","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:39:54.645Z","study_lead","Change Governance Bundle State","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:39:19.844Z","study_lead","Accept Governance Bundle Stage Approval Request","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:39:19.808Z","study_lead","Submit Results in a Bundle","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:38:42.816Z","production_programmer","Create Governance Bundle Stage Approval Request","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:38:28.404Z","study_lead","Update Governance Bundle Stage Assignee","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:38:01.200Z","qc_programmer","Change Governance Bundle Stage","ADCM Dataset","CDISC01_CSR"
"2026-01-13T23:37:56.542Z","qc_programmer","Submit Results in a Bundle","ADCM Dataset","CDISC01_CSR"
"2026-01-13T23:37:55.900Z","qc_programmer","Submit Results in a Bundle","ADCM Dataset","CDISC01_CSR"
"2026-01-13T23:37:54.611Z","qc_programmer","Submit Results in a Bundle","ADCM Dataset","CDISC01_CSR"
"2026-01-13T23:37:53.849Z","qc_programmer","Submit Results in a Bundle","ADCM Dataset","CDISC01_CSR"
"2026-01-13T23:37:46.971Z","qc_programmer","Change Governance Bundle Stage","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:37:43.203Z","qc_programmer","Submit Results in a Bundle","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:37:42.480Z","qc_programmer","Submit Results in a Bundle","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:37:41.923Z","qc_programmer","Submit Results in a Bundle","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:37:41.280Z","qc_programmer","Submit Results in a Bundle","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:37:25.778Z","qc_programmer","Change Governance Bundle Stage","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:37:20.759Z","qc_programmer","Submit Results in a Bundle","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:37:20.064Z","qc_programmer","Submit Results in a Bundle","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:37:19.478Z","qc_programmer","Submit Results in a Bundle","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:37:18.902Z","qc_programmer","Submit Results in a Bundle","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:36:56.015Z","qc_programmer","Add Attachment to Bundle","qc/logs/qc_ADCM.log","CDISC01_CSR"
"2026-01-13T23:36:49.230Z","qc_programmer","Add Attachment to Bundle","qc/logs/qc_ADAE.log","CDISC01_CSR"
"2026-01-13T23:36:43.682Z","qc_programmer","Add Attachment to Bundle","qc/logs/qc_ADSL.log","CDISC01_CSR"
"2026-01-13T23:36:24.704Z","qc_programmer","Add Attachment to Bundle","qc/adam/adcm.sas7bdat","CDISC01_CSR"
"2026-01-13T23:36:15.407Z","qc_programmer","Add Attachment to Bundle","qc/adam/adae.sas7bdat","CDISC01_CSR"
"2026-01-13T23:36:07.343Z","qc_programmer","Add Attachment to Bundle","qc/adam/adsl.sas7bdat","CDISC01_CSR"
"2026-01-13T23:35:22.673Z","qc_programmer","Add Attachment to Bundle","qc/adam/qc_ADCM.sas","CDISC01_CSR"
"2026-01-13T23:35:14.728Z","qc_programmer","View Repo File","","CDISC01_CSR"
"2026-01-13T23:35:06.368Z","qc_programmer","Add Attachment to Bundle","qc/adam/qc_ADAE.sas","CDISC01_CSR"
"2026-01-13T23:32:45.491Z","qc_programmer","View/Download Flows Output or Artifact","adsl",""
"2026-01-13T23:32:41.526Z","qc_programmer","View/Download Flows Output or Artifact","dm",""
"2026-01-13T23:31:58.212Z","qc_programmer","Add Attachment to Bundle","qc/adam/qc_ADSL.sas","CDISC01_CSR"
"2026-01-13T23:23:46.798Z","qc_programmer","View Repo File","","CDISC01_CSR"
"2026-01-13T23:21:37.684Z","production_programmer","Change Governance Bundle Stage","ADVS Dataset","CDISC01_CSR"
"2026-01-13T23:20:37.512Z","production_programmer","Change Governance Bundle Stage","ADLB Dataset","CDISC01_CSR"
"2026-01-13T23:20:33.469Z","production_programmer","Submit Results in a Bundle","ADLB Dataset","CDISC01_CSR"
"2026-01-13T23:20:32.715Z","production_programmer","Submit Results in a Bundle","ADLB Dataset","CDISC01_CSR"
"2026-01-13T23:20:32.070Z","production_programmer","Submit Results in a Bundle","ADLB Dataset","CDISC01_CSR"
"2026-01-13T23:16:52.557Z","production_programmer","View Repo File","","CDISC01_CSR"
"2026-01-13T23:16:00.889Z","study_lead","Update Governance Bundle Stage Assignee","T_VSCAT Output","CDISC01_CSR"
"2026-01-13T23:15:54.556Z","study_lead","Update Governance Bundle Stage Assignee","T_AE_REL Output","CDISC01_CSR"
"2026-01-13T23:15:46.659Z","study_lead","Update Governance Bundle Stage Assignee","T_POP Output","CDISC01_CSR"
"2026-01-13T23:15:36.338Z","study_lead","Update Governance Bundle Stage Assignee","ADVS Dataset","CDISC01_CSR"
"2026-01-13T23:15:28.322Z","study_lead","Update Governance Bundle Stage Assignee","ADLB Dataset","CDISC01_CSR"
"2026-01-13T23:14:43.443Z","study_lead","Update Governance Bundle Stage Assignee","ADMH Dataset","CDISC01_CSR"
"2026-01-13T23:14:36.467Z","study_lead","Update Governance Bundle Stage Assignee","ADCM Dataset","CDISC01_CSR"
"2026-01-13T23:14:10.060Z","study_lead","Update Governance Bundle Stage Assignee","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:14:02.787Z","study_lead","Update Governance Bundle Stage Assignee","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:12:47.925Z","production_programmer","Change Governance Bundle Stage","ADMH Dataset","CDISC01_CSR"
"2026-01-13T23:12:18.717Z","production_programmer","Change Governance Bundle Stage","ADCM Dataset","CDISC01_CSR"
"2026-01-13T23:12:04.345Z","production_programmer","Change Governance Bundle Stage","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:09:22.941Z","production_programmer","Add Attachment to Bundle","logs/ADVS.log","CDISC01_CSR"
"2026-01-13T23:09:10.657Z","production_programmer","Add Attachment to Bundle","adam/advs.sas7bdat","CDISC01_CSR"
"2026-01-13T23:09:06.034Z","production_programmer","Add Attachment to Bundle","adam/adlb.sas7bdat","CDISC01_CSR"
"2026-01-13T23:08:55.330Z","production_programmer","Add Attachment to Bundle","logs/ADLB.log","CDISC01_CSR"
"2026-01-13T23:08:41.819Z","production_programmer","Add Attachment to Bundle","logs/ADMH.log","CDISC01_CSR"
"2026-01-13T23:08:29.533Z","production_programmer","Add Attachment to Bundle","adam/admh.sas7bdat","CDISC01_CSR"
"2026-01-13T23:07:59.874Z","production_programmer","Add Attachment to Bundle","prod/adam/ADVS.sas","CDISC01_CSR"
"2026-01-13T23:07:50.480Z","production_programmer","Add Attachment to Bundle","prod/adam/ADMH.sas","CDISC01_CSR"
"2026-01-13T23:07:44.751Z","production_programmer","Add Attachment to Bundle","prod/adam/ADLB.sas","CDISC01_CSR"
"2026-01-13T23:07:33.580Z","production_programmer","Add Attachment to Bundle","prod/adam/ADCM.sas","CDISC01_CSR"
"2026-01-13T23:07:24.457Z","production_programmer","Add Attachment to Bundle","adam/adcm.sas7bdat","CDISC01_CSR"
"2026-01-13T23:07:15.851Z","production_programmer","Add Attachment to Bundle","logs/ADCM.log","CDISC01_CSR"
"2026-01-13T23:07:03.945Z","production_programmer","Add Attachment to Bundle","logs/ADAE.log","CDISC01_CSR"
"2026-01-13T23:06:52.950Z","production_programmer","Add Attachment to Bundle","adam/adae.sas7bdat","CDISC01_CSR"
"2026-01-13T23:06:26.408Z","production_programmer","Add Attachment to Bundle","prod/adam/ADAE.sas","CDISC01_CSR"
"2026-01-13T23:05:51.831Z","production_programmer","View Repo File","","CDISC01_CSR"
"2026-01-13T23:05:30.120Z","production_programmer","Add Attachment to Bundle","prod/adam/ADSL.sas","CDISC01_CSR"
"2026-01-13T23:05:17.542Z","production_programmer","Add Attachment to Bundle","logs/ADSL.log","CDISC01_CSR"
"2026-01-13T23:05:03.426Z","production_programmer","Add Attachment to Bundle","adam/adsl.sas7bdat","CDISC01_CSR"
"2026-01-13T23:04:29.002Z","production_programmer","Submit Results in a Bundle","ADVS Dataset","CDISC01_CSR"
"2026-01-13T23:04:28.303Z","production_programmer","Submit Results in a Bundle","ADVS Dataset","CDISC01_CSR"
"2026-01-13T23:04:27.650Z","production_programmer","Submit Results in a Bundle","ADVS Dataset","CDISC01_CSR"
"2026-01-13T23:04:22.553Z","production_programmer","Submit Results in a Bundle","ADMH Dataset","CDISC01_CSR"
"2026-01-13T23:04:21.027Z","production_programmer","Submit Results in a Bundle","ADMH Dataset","CDISC01_CSR"
"2026-01-13T23:04:20.330Z","production_programmer","Submit Results in a Bundle","ADMH Dataset","CDISC01_CSR"
"2026-01-13T23:04:12.730Z","production_programmer","Submit Results in a Bundle","ADCM Dataset","CDISC01_CSR"
"2026-01-13T23:04:12.096Z","production_programmer","Submit Results in a Bundle","ADCM Dataset","CDISC01_CSR"
"2026-01-13T23:04:11.133Z","production_programmer","Submit Results in a Bundle","ADCM Dataset","CDISC01_CSR"
"2026-01-13T23:03:39.707Z","production_programmer","Submit Results in a Bundle","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:03:39.225Z","production_programmer","Submit Results in a Bundle","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:03:38.485Z","production_programmer","Submit Results in a Bundle","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:03:03.845Z","production_programmer","Change Governance Bundle Stage","ADSL Dataset","CDISC01_CSR"
